C_2ba58216460d43aa986fc0e897537239_0_1	Johnny Unitas 1964 MVP season - what team did Johnny Unitas play for?
C_2ba58216460d43aa986fc0e897537239_0_2	Johnny Unitas 1964 MVP season - how many games did the colts win
C_2ba58216460d43aa986fc0e897537239_0_3	Johnny Unitas 1964 MVP season - who did the Colts play in the playoffs?
C_2ba58216460d43aa986fc0e897537239_0_4	Johnny Unitas 1964 MVP season - did the Colts win the super bowl?
C_2ba58216460d43aa986fc0e897537239_0_5	Johnny Unitas 1964 MVP season - who did the Colts play in the super bowl?
C_2ba58216460d43aa986fc0e897537239_0_6	Johnny Unitas 1964 MVP season - what were Johnny Unitas stats?
C_ae269bdc0d524b599736eb69a322d5b1_1_1	Mark Taylor (cricketer) Early years - Where was Mark Taylor born?
C_ae269bdc0d524b599736eb69a322d5b1_1_2	Mark Taylor (cricketer) Early years - What did Mark Taylor do growing up?
C_ae269bdc0d524b599736eb69a322d5b1_1_3	Mark Taylor (cricketer) Early years - Are there any other interesting aspects in addition to this article?
C_ae269bdc0d524b599736eb69a322d5b1_1_4	Mark Taylor (cricketer) Early years - Did Mark Taylor win any awards?
C_ae269bdc0d524b599736eb69a322d5b1_1_5	Mark Taylor (cricketer) Early years - did Mark Taylor win any championships for his school?
C_ae269bdc0d524b599736eb69a322d5b1_1_6	Mark Taylor (cricketer) Early years - What jobs did Mark Taylor work?
C_ae269bdc0d524b599736eb69a322d5b1_1_7	Mark Taylor (cricketer) Early years - Did Mark Taylor go to college?
C_ae269bdc0d524b599736eb69a322d5b1_1_8	Mark Taylor (cricketer) Early years - Did Mark Taylor graduate?
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_1	Gautam Gambhir Indian Premier League - Who was Gautam Gambhir in Indian premier league?
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_2	Gautam Gambhir Indian Premier League - what did Gautam Gambhir do as captain?
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_3	Gautam Gambhir Indian Premier League - Did Gautam Gambhir set any other records besides scoring more than 1000 runs in the IPL?
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_4	Gautam Gambhir Indian Premier League - Did Gautam Gambhir win any awards?
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_5	Gautam Gambhir Indian Premier League - Are there any other interesting aspects about this article aside from Gautam Gambhir record?
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_6	Gautam Gambhir Indian Premier League - Did Gautam Gambhir play for any other teams other than Delhi Daredevils?
C_52dfda507a2f476c98e838aa6c80d9e5_1_1	Steve Young Montana's backup: 1987-1990 - Did Steve Young play any notable games while Montana's backup?
C_52dfda507a2f476c98e838aa6c80d9e5_1_2	Steve Young Montana's backup: 1987-1990 - Did Montana win the game against the Chicago Bears in 1987?
C_52dfda507a2f476c98e838aa6c80d9e5_1_3	Steve Young Montana's backup: 1987-1990 - Did Steve Young play any other notable games other than the one against the Chicago Bears in 1987?
C_52dfda507a2f476c98e838aa6c80d9e5_1_4	Steve Young Montana's backup: 1987-1990 - Who were the 49ers playing in the game with a score of 27-10?
C_52dfda507a2f476c98e838aa6c80d9e5_1_5	Steve Young Montana's backup: 1987-1990 - When was the Minnesota Vikings game against Montana being played?
C_52dfda507a2f476c98e838aa6c80d9e5_1_6	Steve Young Montana's backup: 1987-1990 - Was the 1987 game against the Minnesota Vikings played at the 49ers' stadium or the Vikings' stadium?
C_52dfda507a2f476c98e838aa6c80d9e5_1_7	Steve Young Montana's backup: 1987-1990 - Did the 49ers play well during the 1987 to 1990 period?
C_52dfda507a2f476c98e838aa6c80d9e5_1_8	Steve Young Montana's backup: 1987-1990 - Did Minnesota Vikings ever get to the Super Bowl while Steve Young was there?
C_44cfa9f1a9614dc1970959a59917acbd_1_1	Foo Fighters The Colour and the Shape (1996-1997) - What is "The colour and the shape"
C_44cfa9f1a9614dc1970959a59917acbd_1_2	Foo Fighters The Colour and the Shape (1996-1997) - What singles did the album  "The colour and the shape" have?
C_44cfa9f1a9614dc1970959a59917acbd_1_3	Foo Fighters The Colour and the Shape (1996-1997) - Did The Colour and the Shape album go on tour?
C_44cfa9f1a9614dc1970959a59917acbd_1_4	Foo Fighters The Colour and the Shape (1996-1997) - What are some interesting aspects about this article besides the album"The Colour and the Shape"?
C_44cfa9f1a9614dc1970959a59917acbd_1_5	Foo Fighters The Colour and the Shape (1996-1997) - What other songs were featured on films besides "Dear Lover"?
C_44cfa9f1a9614dc1970959a59917acbd_1_6	Foo Fighters The Colour and the Shape (1996-1997) - Any others songs were featured on films besides "Dear Lover", "Walking After You" for The X-Files and "A320"?
C_f615186a82b8421aacb4ca18fca24b42_0_1	Bobby Robson International playing career - Where did Robson play internationally?
C_f615186a82b8421aacb4ca18fca24b42_0_2	Bobby Robson International playing career - Other than playing in South Africa in 1956, where else did Robson play after 1956?
C_f615186a82b8421aacb4ca18fca24b42_0_3	Bobby Robson International playing career - Who was Robson playing for in 1957?
C_f615186a82b8421aacb4ca18fca24b42_0_4	Bobby Robson International playing career - Which team did Robson play for longest?
C_f615186a82b8421aacb4ca18fca24b42_0_5	Bobby Robson International playing career - What did Robson do after playing for England?
C_c50f120990f34e0cb4e97ecfbab870af_1_1	Odissi Medieval era - Was Odissi an acceptable form of dancing during the Medieval era?
C_c50f120990f34e0cb4e97ecfbab870af_1_2	Odissi Medieval era - Was Odissi a popular form of dancing during the Medieval era?
C_c50f120990f34e0cb4e97ecfbab870af_1_3	Odissi Medieval era - Was there a popular Odissi dancer in the Medieval era?
C_c50f120990f34e0cb4e97ecfbab870af_1_4	Odissi Medieval era - Is there anything significant about Odissi dancing in the Medieval era?
C_c50f120990f34e0cb4e97ecfbab870af_1_5	Odissi Medieval era - Was Odissi dancing a good source of income for the Medieval era performers?
C_c50f120990f34e0cb4e97ecfbab870af_1_6	Odissi Medieval era - Was there anyone in the Medieval era who did not like the Odissi form of dancing?
C_c50f120990f34e0cb4e97ecfbab870af_1_7	Odissi Medieval era - In what arenas were you able to witness the Odissi performers in the Medieval era?
C_ca2198202da140e28165132567967682_1_1	Enya 2008-present: And Winter Came... and Dark Sky Island - Can you provide me with a little information on And Winter Came..and Dark Sky Island by Enya?
C_ca2198202da140e28165132567967682_1_2	Enya 2008-present: And Winter Came... and Dark Sky Island - Is Enya the name of a music group?
C_ca2198202da140e28165132567967682_1_3	Enya 2008-present: And Winter Came... and Dark Sky Island - What was all involved in the making of the album And Winter Came... and Dark Sky Island?
C_ca2198202da140e28165132567967682_1_4	Enya 2008-present: And Winter Came... and Dark Sky Island - Is Enya's winter-themed album popular?
C_ca2198202da140e28165132567967682_1_5	Enya 2008-present: And Winter Came... and Dark Sky Island - What did Enya do after her winter-themed album became a success?
C_ca2198202da140e28165132567967682_1_6	Enya 2008-present: And Winter Came... and Dark Sky Island - What did Enya focus on during her break after promoting And Winter Came...?
C_8b166a2b96a4446b96aec0b2fd24bb06_1_1	Hillary Clinton Early life and education - Where did Hillary Clinton grow up?
C_8b166a2b96a4446b96aec0b2fd24bb06_1_2	Hillary Clinton Early life and education - Where did Hillary Clinton live after Chicago?
C_8b166a2b96a4446b96aec0b2fd24bb06_1_3	Hillary Clinton Early life and education - What did Hillary Clinton's parents do for a living?
C_8b166a2b96a4446b96aec0b2fd24bb06_1_4	Hillary Clinton Early life and education - Did Hillary Clinton have siblings?
C_55326ebad6b0415ea8430f68d8c986f4_1_1	Havelock Ellis Sexual impulse in youth - What was Havelock Ellis view on sexual impulse in the youth?
C_55326ebad6b0415ea8430f68d8c986f4_1_2	Havelock Ellis Sexual impulse in youth - How does Havelock Ellis feel youth experience sexual impulse differently?
C_55326ebad6b0415ea8430f68d8c986f4_1_3	Havelock Ellis Sexual impulse in youth - Does Havelock Ellis think that the youth are more sexually active than older people?
C_55326ebad6b0415ea8430f68d8c986f4_1_4	Havelock Ellis Sexual impulse in youth - Why did Havelock Ellis come to youth are more sexually active than older people conclusion?
C_55326ebad6b0415ea8430f68d8c986f4_1_5	Havelock Ellis Sexual impulse in youth - Were the recalling of sensations more in females or males?
C_55326ebad6b0415ea8430f68d8c986f4_1_6	Havelock Ellis Sexual impulse in youth - Besides Havelock Ellis who were the other authors?
C_55326ebad6b0415ea8430f68d8c986f4_1_7	Havelock Ellis Sexual impulse in youth - Did Havelock Ellis have any thoughts on the hereditary of sexual excitement?
C_217351d2fd5a4a9bb19386d270564876_1_1	David Frost That Was the Week That Was (TW3) - What was David Frost job?
C_217351d2fd5a4a9bb19386d270564876_1_2	David Frost That Was the Week That Was (TW3) - In what country was "That was the week that was" been produce?
